frame	type	cpu_addr	value	tracked_ppu_addr
6	PPUDATA	2007	00	2156
6	PPUDATA	2007	00	2157
6	PPUDATA	2007	00	2158
6	PPUDATA	2007	00	2159
6	PPUDATA	2007	00	215A
6	PPUDATA	2007	00	215B
6	PPUDATA	2007	00	215C
6	PPUDATA	2007	00	215D
6	PPUDATA	2007	00	215E
6	PPUDATA	2007	00	215F
6	PPUDATA	2007	00	2160
6	PPUDATA	2007	00	2161
6	PPUDATA	2007	00	2162
6	PPUDATA	2007	00	2163
6	PPUDATA	2007	00	2164
6	PPUDATA	2007	00	2165
6	PPUDATA	2007	00	2166
6	PPUDATA	2007	00	2167
6	PPUDATA	2007	00	2168
6	PPUDATA	2007	00	2169
6	PPUDATA	2007	00	216A
6	PPUDATA	2007	00	216B
6	PPUDATA	2007	00	216C
6	PPUDATA	2007	00	216D
6	PPUDATA	2007	00	216E
6	PPUDATA	2007	00	216F
6	PPUDATA	2007	00	2170
6	PPUDATA	2007	00	2171
6	PPUDATA	2007	00	2172
6	PPUDATA	2007	00	2173
6	PPUDATA	2007	00	2174
6	PPUDATA	2007	00	2175
6	PPUDATA	2007	00	2176
6	PPUDATA	2007	00	2177
6	PPUDATA	2007	00	2178
6	PPUDATA	2007	00	2179
6	PPUDATA	2007	00	217A
6	PPUDATA	2007	00	217B
6	PPUDATA	2007	00	217C
6	PPUDATA	2007	00	217D
6	PPUDATA	2007	00	217E
6	PPUDATA	2007	00	217F
6	PPUDATA	2007	00	2180
6	PPUDATA	2007	00	2181
6	PPUDATA	2007	00	2182
6	PPUDATA	2007	00	2183
6	PPUDATA	2007	00	2184
6	PPUDATA	2007	00	2185
6	PPUDATA	2007	00	2186
6	PPUDATA	2007	00	2187
6	PPUDATA	2007	00	2188
6	PPUDATA	2007	00	2189
6	PPUDATA	2007	00	218A
6	PPUDATA	2007	00	218B
6	PPUDATA	2007	00	218C
6	PPUDATA	2007	00	218D
6	PPUDATA	2007	00	218E
6	PPUDATA	2007	00	218F
6	PPUDATA	2007	00	2190
6	PPUDATA	2007	00	2191
6	PPUDATA	2007	00	2192
6	PPUDATA	2007	00	2193
6	PPUDATA	2007	00	2194
6	PPUDATA	2007	00	2195
6	PPUDATA	2007	00	2196
6	PPUDATA	2007	00	2197
6	PPUDATA	2007	00	2198
6	PPUDATA	2007	00	2199
6	PPUDATA	2007	00	219A
6	PPUDATA	2007	00	219B
6	PPUDATA	2007	00	219C
6	PPUDATA	2007	00	219D
6	PPUDATA	2007	00	219E
6	PPUDATA	2007	00	219F
6	PPUDATA	2007	00	21A0
6	PPUDATA	2007	00	21A1
6	PPUDATA	2007	00	21A2
6	PPUDATA	2007	00	21A3
6	PPUDATA	2007	00	21A4
6	PPUDATA	2007	00	21A5
6	PPUDATA	2007	00	21A6
6	PPUDATA	2007	00	21A7
6	PPUDATA	2007	00	21A8
6	PPUDATA	2007	00	21A9
6	PPUDATA	2007	00	21AA
6	PPUDATA	2007	00	21AB
6	PPUDATA	2007	00	21AC
6	PPUDATA	2007	00	21AD
6	PPUDATA	2007	00	21AE
6	PPUDATA	2007	00	21AF
6	PPUDATA	2007	00	21B0
6	PPUDATA	2007	00	21B1
6	PPUDATA	2007	00	21B2
6	PPUDATA	2007	00	21B3
6	PPUDATA	2007	00	21B4
6	PPUDATA	2007	00	21B5
6	PPUDATA	2007	00	21B6
6	PPUDATA	2007	00	21B7
6	PPUDATA	2007	00	21B8
6	PPUDATA	2007	00	21B9
6	PPUDATA	2007	00	21BA
6	PPUDATA	2007	00	21BB
6	PPUDATA	2007	00	21BC
6	PPUDATA	2007	00	21BD
6	PPUDATA	2007	00	21BE
6	PPUDATA	2007	00	21BF
6	PPUDATA	2007	00	21C0
6	PPUDATA	2007	00	21C1
6	PPUDATA	2007	00	21C2
6	PPUDATA	2007	00	21C3
6	PPUDATA	2007	00	21C4
6	PPUDATA	2007	00	21C5
6	PPUDATA	2007	00	21C6
6	PPUDATA	2007	00	21C7
6	PPUDATA	2007	00	21C8
6	PPUDATA	2007	00	21C9
6	PPUDATA	2007	00	21CA
6	PPUDATA	2007	00	21CB
6	PPUDATA	2007	00	21CC
6	PPUDATA	2007	00	21CD
6	PPUDATA	2007	00	21CE
7	PPUDATA	2007	00	21CF
7	PPUDATA	2007	00	21D0
7	PPUDATA	2007	00	21D1
7	PPUDATA	2007	00	21D2
7	PPUDATA	2007	00	21D3
7	PPUDATA	2007	00	21D4
7	PPUDATA	2007	00	21D5
7	PPUDATA	2007	00	21D6
7	PPUDATA	2007	00	21D7
7	PPUDATA	2007	00	21D8
7	PPUDATA	2007	00	21D9
7	PPUDATA	2007	00	21DA
7	PPUDATA	2007	00	21DB
7	PPUDATA	2007	00	21DC
7	PPUDATA	2007	00	21DD
7	PPUDATA	2007	00	21DE
7	PPUDATA	2007	00	21DF
7	PPUDATA	2007	00	21E0
7	PPUDATA	2007	00	21E1
7	PPUDATA	2007	00	21E2
7	PPUDATA	2007	00	21E3
7	PPUDATA	2007	00	21E4
7	PPUDATA	2007	00	21E5
7	PPUDATA	2007	00	21E6
7	PPUDATA	2007	00	21E7
